id,Name,Address,Lat,Long,Number of Ratings,Restaurant Rating,Type of Restaurant,Number of Bookmarks,Price Range,Phone Number,Website,Instagram,Facebook,Timetable,url
508,Naked and Sated - Serrano,"Calle de Serrano, 110, Madrid, Spain, 28006",40.435305,-3.686155,7,3.0,"['International', 'Mediterranean', 'Fusion', 'Spanish']",17,Moderado,+34-914413102,http://nakedandsated.com/,No instagram,http://facebook.com/NakedSated-2005039759586727,"{'Monday': '08:00 - 00:00', 'Tuesday': '08:00 - 00:00', 'Wednesday': '08:00 - 00:00', 'Thursday': '08:00 - 00:00', 'Friday': '08:00 - 00:00', 'Saturday': '10:00 - 18:00', 'Sunday': '10:00 - 18:00'}",https://www.happycow.net/reviews/naked-and-sated-madrid-192586
509,Rawcoco - General Pardinas,"Calle del General Pardinas, 21, Madrid, Spain, 28001",40.426271,-3.678656,9,3.0,"['European', 'Spanish']",19,Moderado,+34-914495017,http://www.rawcoco.es/,No instagram,http://facebook.com/rawcoco.es,"{'Monday': '08:30 - 21:00', 'Tuesday': '08:30 - 21:00', 'Wednesday': '08:30 - 21:00', 'Thursday': '08:30 - 21:00', 'Friday': '08:30 - 21:00', 'Saturday': '09:30 - 21:00', 'Sunday': '09:30 - 21:00'}",https://www.happycow.net/reviews/rawcoco-madrid-168829
510,PINALE Brunch & Salad Bar,"Calle del Gral. Pardiñas, 23, Salamanca, Madrid, Spain, 28001",40.426420,-3.678685,1,5.0,['Western'],0,Barato,+34-917568147,https://pinale.es/,http://www.instagram.com/pinalesaladbar,http://facebook.com/PinaleSaladBar,"{'Monday': '09:00 - 16:00', 'Tuesday': '09:00 - 16:00', 'Wednesday': '09:00 - 19:00', 'Thursday': '09:00 - 19:00', 'Friday': '09:00 - 19:00', 'Saturday': '09:00 - 19:00', 'Sunday': '09:00 - 16:00'}",https://www.happycow.net/reviews/pinale-brunch-salad-bar-madrid-406019
511,María Peperina Café,"P.º de Sta. María de la Cabeza, 80, Madrid, Spain, 28045",40.398866,-3.701730,1,5.0,"['Western', 'Spanish']",0,No price range,+34-678037803,No website,http://www.instagram.com/mariapeperinacafe,No facebook,"{'Monday': 'Closed', 'Tuesday': '09:00 - 20:00', 'Wednesday': '09:00 - 20:00', 'Thursday': '09:00 - 20:00', 'Friday': '09:00 - 20:00', 'Saturday': '10:00 - 20:00', 'Sunday': '10:00 - 20:00'}",https://www.happycow.net/reviews/maria-peperina-cafe-madrid-405847
512,Bô Coffee,"Calle de Espronceda 16, Madrid, Spain, 28003",40.440489,-3.697825,3,4.0,"['Mediterranean', 'European', 'Spanish']",3,No price range,+34-681232564,No website,http://www.instagram.com/bocoffeemadrid,http://facebook.com/profile.php?id=100063477579844,"{'Monday': '09:00 - 17:00', 'Tuesday': '09:00 - 17:00', 'Wednesday': '09:00 - 17:00', 'Thursday': '09:00 - 17:00', 'Friday': '09:00 - 17:00', 'Saturday': '09:00 - 17:00', 'Sunday': '09:00 - 17:00'}",https://www.happycow.net/reviews/bo-coffee-madrid-324864
513,Miga's de Pan,"C de Embajadores, 128, Madrid, Spain, 28045",40.399130,-3.698480,1,4.0,[],3,No price range,No phone number,No website,http://www.instagram.com/migasmadriz,No facebook,"{'Monday': '08:30 - 21:00', 'Tuesday': '08:30 - 21:00', 'Wednesday': '08:30 - 21:00', 'Thursday': '08:30 - 21:00', 'Friday': '08:30 - 21:00', 'Saturday': '08:30 - 16:00', 'Sunday': '09:00 - 15:00'}",https://www.happycow.net/reviews/migas-de-pan-madrid-312502
514,Ramen Shifu - Ponzano,"7 Calle de Espronceda, Chamberí, Madrid, Spain, 28003",40.440936,-3.698381,1,4.0,"['Japanese', 'Asian']",2,Moderado,+34-919474373,https://www.ramenshifu.com/,http://www.instagram.com/ramenshifu,http://facebook.com/ramenshifu,"{'Monday': '13:00 - 16:00, 20:00 - 23:30', 'Tuesday': '13:00 - 16:00, 20:00 - 23:30', 'Wednesday': '13:00 - 16:00, 20:00 - 23:30', 'Thursday': '13:00 - 16:00, 20:00 - 23:30', 'Friday': '13:00 - 16:30, 19:30 - 00:00', 'Saturday': '13:00 - 16:30, 19:30 - 00:00', 'Sunday': '13:00 - 16:30, 19:30 - 00:00'}",https://www.happycow.net/reviews/ramen-shifu-madrid-392773
515,Panela & Co,"Calle de López de Hoyos, 10, Madrid, Spain, 28006",40.436918,-3.687265,1,1.0,"['Western', 'European', 'Spanish']",4,No price range,+34-915636069,http://www.panelaco.com/,http://www.instagram.com/panelaandco,http://facebook.com/panelaandco,"{'Monday': '09:00 - 16:30', 'Tuesday': '09:00 - 16:30', 'Wednesday': '09:00 - 16:30', 'Thursday': '09:00 - 16:30', 'Friday': '09:00 - 16:30', 'Saturday': '09:30 - 17:00', 'Sunday': '09:30 - 17:00'}",https://www.happycow.net/reviews/panela-and-co-madrid-353358
516,Can Pizza - Serrano,"Calle de Serrano, 85, Madrid, Spain, 28006",40.436663,-3.686652,0,0,"['American', 'Italian']",0,Moderado,+34-917247376,https://www.canpizza.eu/,http://www.instagram.com/canpizzaoficial,http://facebook.com/canpizzaoficial,{'Horario': 'No hay horario'},https://www.happycow.net/reviews/can-pizza-madrid-375621
517,Run Run Run,"Plaza de Juan Zorrilla, 1 (at Rios Rosas), Madrid, Spain, 28003",40.441779,-3.704385,7,4.0,"['Western', 'European']",21,Moderado,+34-911669094,https://grupolamusa.com/restaurante-run-run-run,No instagram,http://facebook.com/caferunrunrun,"{'Monday': '09:00 - 00:00', 'Tuesday': '09:00 - 00:00', 'Wednesday': '09:00 - 00:00', 'Thursday': '09:00 - 00:00', 'Friday': '09:00 - 00:00', 'Saturday': '09:00 - 00:00', 'Sunday': '09:00 - 00:00'}",https://www.happycow.net/reviews/run-run-run-madrid-182125
