Name;Address;Lat;Long;Number of Ratings;Restaurant Rating;Type of Restaurant;Number of Bookmarks;Price Range;Phone Number;Website;Instagram;Facebook;Timetable;url;index_right;NOMBRE_DISTRITO
Freedom Cakes Diner;Calle Cádiz 7,Madrid,Spain,28004;40.415876;-3.702805;470.0;4.5;['International'];766;Moderado;+34-910741347;http://www.freedomcakes.es/;http://www.instagram.com/freedomcakes;http://facebook.com/Freedomcakesvegan;{'Monday': '08:00 - 00:00', 'Tuesday': '08:00 - 00:00', 'Wednesday': '08:00 - 00:00', 'Thursday': '08:00 - 00:00', 'Friday': '08:00 - 00:30', 'Saturday': '08:00 - 00:30', 'Sunday': '08:00 - 00:00'};https://www.happycow.net/reviews/freedom-cakes-diner-madrid-101451;0.0;Centro
Mad Mad Vegan - Chueca;Calle Pelayo 19,Madrid,Spain,28004;40.422698;-3.698609;410.0;5.0;['American', 'Mexican'];612;Moderado;+34-914442077;https://madmadvegan.com/;http://www.instagram.com/madmadvegan;http://facebook.com/MADMADVEGAN;{'Monday': '13:00 - 00:00', 'Tuesday': '13:00 - 00:00', 'Wednesday': '13:00 - 00:00', 'Thursday': '13:00 - 00:00', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 00:00'};https://www.happycow.net/reviews/mad-mad-madrid-154608;0.0;Centro
Frutas Prohibidas;Calle del Conde Duque, 26,Madrid,Spain,28015;40.427467;-3.710349;241.0;5.0;['International', 'Fusion'];555;Moderado;+34-911525533;http://www.frutasprohibidas.com/;http://www.instagram.com/frutasprohibidasbar;http://facebook.com/frutasprohibidasbar;{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '10:00 - 18:00', 'Thursday': '10:00 - 18:00', 'Friday': '10:00 - 18:00', 'Saturday': '10:00 - 18:00', 'Sunday': '10:00 - 18:00'};https://www.happycow.net/reviews/frutas-prohibidas-madrid-187623;0.0;Centro
Mad Mad Vegan - Lavapiés;Lavapiés 16,Madrid,Spain,28012;40.411113;-3.703039;216.0;4.5;['American', 'Mexican'];465;Moderado;+34-910665299;https://madmadvegan.com/;http://www.instagram.com/madmadvegan;http://facebook.com/MADMADVEGAN;{'Monday': '13:00 - 00:00', 'Tuesday': '13:00 - 00:00', 'Wednesday': '13:00 - 00:00', 'Thursday': '13:00 - 00:00', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 00:00'};https://www.happycow.net/reviews/mad-mad-vegan-madrid-232175;0.0;Centro
Flower Burger; Calle Luchana 13, Chamberí,Madrid,Spain,28010;40.430001;-3.701037;14.0;4.5;['American', 'Western'];47;Barato;+34-910328968;https://www.flowerburger.it/;http://www.instagram.com/flowerburger_es;http://facebook.com/flowerburger.it;{'Monday': '13:00 - 16:30, 19:30 - 23:30', 'Tuesday': '13:00 - 16:30, 19:30 - 23:30', 'Wednesday': '13:00 - 16:30, 19:30 - 23:30', 'Thursday': '13:00 - 16:30, 19:30 - 23:30', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 23:30'};https://www.happycow.net/reviews/flower-burger-madrid-409399;6.0;Chamberi
Viva Chapata;Calle del Ave Maria 43,Madrid,Spain,28012;40.409423;-3.700885;176.0;4.5;['Western', 'Spanish'];406;Moderado;+34-915301093;https://vivachapata.es/;http://www.instagram.com/vivachapatamadrid;http://facebook.com/vivachapataMadrid;{'Monday': 'Closed', 'Tuesday': '10:00 - 00:00', 'Wednesday': '10:00 - 00:00', 'Thursday': '10:00 - 00:00', 'Friday': '10:00 - 00:30', 'Saturday': '11:30 - 00:30', 'Sunday': '11:30 - 00:30'};https://www.happycow.net/reviews/viva-chapata-madrid-34396;0.0;Centro
La Oveja Negra;C/ Buenavista, 42, Lavapiés,Madrid,Spain,28012;40.409241;-3.699736;296.0;4.5;['Western'];648;Moderado;+34-665857363;https://ovejavegana.com/;http://www.instagram.com/ovejanegravegana;http://facebook.com/ovejaveganamadrid;{'Monday': '13:00 - 17:00', 'Tuesday': '13:00 - 00:00', 'Wednesday': '13:00 - 00:00', 'Thursday': '13:00 - 00:00', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 17:00'};https://www.happycow.net/reviews/la-oveja-negra-madrid-32567;0.0;Centro
VEGA - Luna;Luna 9 (at Malasana District),Madrid,Spain,28004;40.422335;-3.706148;406.0;4.5;['International', 'Mediterranean', 'Fusion', 'Spanish'];670;Moderado;+34-910704969;https://luna.govega.es/;http://www.instagram.com/vegarestaurantes;http://facebook.com/vegarestaurantes;{'Monday': 'Closed', 'Tuesday': '13:00 - 23:00', 'Wednesday': '13:00 - 23:00', 'Thursday': '13:00 - 23:00', 'Friday': '13:00 - 23:00', 'Saturday': '13:00 - 23:30', 'Sunday': '13:00 - 17:00'};https://www.happycow.net/reviews/vega-madrid-54785;0.0;Centro
Celicioso Callao;Plaza del Callao, 2, 9º Planta,Madrid,Spain,28013;40.419516;-3.704929;5.0;4.0;[];14;No price range;+34-915312594;https://cartacelicioso.wixsite.com/celiciosohortaleza;No instagram;http://facebook.com/Celicioso;{'Monday': '10:00 - 22:00', 'Tuesday': '10:00 - 22:00', 'Wednesday': '10:00 - 22:00', 'Thursday': '10:00 - 22:00', 'Friday': '10:00 - 22:00', 'Saturday': '10:00 - 22:00', 'Sunday': '10:00 - 22:00'};https://www.happycow.net/reviews/celicioso-callao-madrid-204536;0.0;Centro
Shi-Shang;3 Calle de Concepcion Arenal,Madrid,Spain,28004;40.42071;-3.704862;127.0;4.0;['Chinese'];168;Moderado;+34-915231220;http://www.shishang.es/;No instagram;http://facebook.com/Shishang-660068537454676;{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '12:30 - 16:30, 19:30 - 00:00', 'Thursday': '12:30 - 16:30, 19:30 - 00:00', 'Friday': '12:30 - 16:30, 19:30 - 00:00', 'Saturday': '12:30 - 16:30, 19:30 - 00:00', 'Sunday': '12:30 - 16:30, 19:30 - 00:00'};https://www.happycow.net/reviews/shi-shang-madrid-12240;0.0;Centro
