id,Name,Address,Lat,Long,Number of Ratings,Restaurant Rating,Type of Restaurant,Number of Bookmarks,Price Range,Phone Number,Website,Instagram,Facebook,Timetable,url,Total Work Hours,Days Open,Average Daily Hours,Total Social Media,Has Social Media,Popularity
1,Freedom Cakes Diner,"Calle Cádiz 7,Madrid,Spain,28004",40.415876,-3.702805,470.0,4.5,['International'],766,2,+34-910741347,1,1,1,"{'Monday': '08:00 - 00:00', 'Tuesday': '08:00 - 00:00', 'Wednesday': '08:00 - 00:00', 'Thursday': '08:00 - 00:00', 'Friday': '08:00 - 00:30', 'Saturday': '08:00 - 00:30', 'Sunday': '08:00 - 00:00'}",https://www.happycow.net/reviews/freedom-cakes-diner-madrid-101451,113.0,7.0,16.14,3,1,0.8753939595948373
2,Mad Mad Vegan - Chueca,"Calle Pelayo 19,Madrid,Spain,28004",40.422698,-3.698609,410.0,5.0,"['American', 'Mexican']",612,2,+34-914442077,1,1,1,"{'Monday': '13:00 - 00:00', 'Tuesday': '13:00 - 00:00', 'Wednesday': '13:00 - 00:00', 'Thursday': '13:00 - 00:00', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 00:00'}",https://www.happycow.net/reviews/mad-mad-madrid-154608,77.0,7.0,11.0,3,1,0.7166816658333796
3,Frutas Prohibidas,"Calle del Conde Duque, 26,Madrid,Spain,28015",40.427467,-3.710349,241.0,5.0,"['International', 'Fusion']",555,2,+34-911525533,1,1,1,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '10:00 - 18:00', 'Thursday': '10:00 - 18:00', 'Friday': '10:00 - 18:00', 'Saturday': '10:00 - 18:00', 'Sunday': '10:00 - 18:00'}",https://www.happycow.net/reviews/frutas-prohibidas-madrid-187623,40.0,5.0,5.71,3,1,0.6519063755717275
4,Mad Mad Vegan - Lavapiés,"Lavapiés 16,Madrid,Spain,28012",40.411113,-3.703039,216.0,4.5,"['American', 'Mexican']",465,2,+34-910665299,1,1,1,"{'Monday': '13:00 - 00:00', 'Tuesday': '13:00 - 00:00', 'Wednesday': '13:00 - 00:00', 'Thursday': '13:00 - 00:00', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 00:00'}",https://www.happycow.net/reviews/mad-mad-vegan-madrid-232175,77.0,7.0,11.0,3,1,0.3375197674203285
5,Flower Burger," Calle Luchana 13, Chamberí,Madrid,Spain,28010",40.430001,-3.701037,14.0,4.5,"['American', 'Western']",47,1,+34-910328968,1,1,1,"{'Monday': '13:00 - 16:30, 19:30 - 23:30', 'Tuesday': '13:00 - 16:30, 19:30 - 23:30', 'Wednesday': '13:00 - 16:30, 19:30 - 23:30', 'Thursday': '13:00 - 16:30, 19:30 - 23:30', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 23:30'}",https://www.happycow.net/reviews/flower-burger-madrid-409399,62.5,7.0,8.93,3,1,0.6024591226413347
6,Viva Chapata,"Calle del Ave Maria 43,Madrid,Spain,28012",40.409423,-3.700885,176.0,4.5,"['Western', 'Spanish']",406,2,+34-915301093,1,1,1,"{'Monday': 'Closed', 'Tuesday': '10:00 - 00:00', 'Wednesday': '10:00 - 00:00', 'Thursday': '10:00 - 00:00', 'Friday': '10:00 - 00:30', 'Saturday': '11:30 - 00:30', 'Sunday': '11:30 - 00:30'}",https://www.happycow.net/reviews/viva-chapata-madrid-34396,82.5,6.0,11.79,3,1,0.7677721608058812
7,La Oveja Negra,"C/ Buenavista, 42, Lavapiés,Madrid,Spain,28012",40.409241,-3.699736,296.0,4.5,['Western'],648,2,+34-665857363,1,1,1,"{'Monday': '13:00 - 17:00', 'Tuesday': '13:00 - 00:00', 'Wednesday': '13:00 - 00:00', 'Thursday': '13:00 - 00:00', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 17:00'}",https://www.happycow.net/reviews/la-oveja-negra-madrid-32567,63.0,7.0,9.0,3,1,0.8671333074088476
8,VEGA - Luna,"Luna 9 (at Malasana District),Madrid,Spain,28004",40.422335,-3.706148,406.0,4.5,"['International', 'Mediterranean', 'Fusion', 'Spanish']",670,2,+34-910704969,1,1,1,"{'Monday': 'Closed', 'Tuesday': '13:00 - 23:00', 'Wednesday': '13:00 - 23:00', 'Thursday': '13:00 - 23:00', 'Friday': '13:00 - 23:00', 'Saturday': '13:00 - 23:30', 'Sunday': '13:00 - 17:00'}",https://www.happycow.net/reviews/vega-madrid-54785,54.5,6.0,7.79,3,1,0.23457733829602062
9,Celicioso Callao,"Plaza del Callao, 2, 9º Planta,Madrid,Spain,28013",40.419516,-3.704929,5.0,4.0,[],14,0,+34-915312594,1,0,1,"{'Monday': '10:00 - 22:00', 'Tuesday': '10:00 - 22:00', 'Wednesday': '10:00 - 22:00', 'Thursday': '10:00 - 22:00', 'Friday': '10:00 - 22:00', 'Saturday': '10:00 - 22:00', 'Sunday': '10:00 - 22:00'}",https://www.happycow.net/reviews/celicioso-callao-madrid-204536,84.0,7.0,12.0,2,1,0.4452826694813251
10,Shi-Shang,"3 Calle de Concepcion Arenal,Madrid,Spain,28004",40.42071,-3.704862,127.0,4.0,['Chinese'],168,2,+34-915231220,1,0,1,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '12:30 - 16:30, 19:30 - 00:00', 'Thursday': '12:30 - 16:30, 19:30 - 00:00', 'Friday': '12:30 - 16:30, 19:30 - 00:00', 'Saturday': '12:30 - 16:30, 19:30 - 00:00', 'Sunday': '12:30 - 16:30, 19:30 - 00:00'}",https://www.happycow.net/reviews/shi-shang-madrid-12240,42.5,5.0,6.07,2,1,0.13333333333333333
