Name,Address,Lat,Long,Number of Ratings,Restaurant Rating,Type of Restaurant,Number of Bookmarks,Price Range,Phone Number,Website,Instagram,Facebook,Timetable
Pintxo y Coma,"Candilejas 14, Madrid, Spain, 28018",40.385543,-3.661255,9,4.0,"['European', 'Spanish']",19,Barato,+34-917856508,https://pintxoy-bar-madrid.metro.rest/,No instagram,http://facebook.com/pinycoma,"{'Monday': '09:00 - 00:00', 'Tuesday': '09:00 - 00:00', 'Wednesday': '09:00 - 00:00', 'Thursday': '09:00 - 00:00', 'Friday': '09:00 - 00:00', 'Saturday': '09:00 - 00:00', 'Sunday': '09:00 - 00:00'}"
Healthy Poke - Vallecas,"Av. de la Albufera, 153, Puente de Vallecas (at Albufera Plaza), Madrid, Spain, 28038",40.391861,-3.655783,0,0,"['Mexican', 'Asian']",0,No price range,+34-631353532,https://www.healthypoke.com/,http://www.instagram.com/healthypoke,No facebook,"{'Monday': '12:00 - 23:00', 'Tuesday': '12:00 - 23:00', 'Wednesday': '12:00 - 23:00', 'Thursday': '12:00 - 23:00', 'Friday': '12:00 - 23:00', 'Saturday': '12:00 - 23:00', 'Sunday': '12:00 - 23:00'}"
A las Bravas,"C de Josefa Díaz, 4, Puente de Vallecas (at Numancia Market), Madrid, Spain, 28038",40.393526,-3.658137,1,5.0,"['American', 'European']",1,No price range,No phone number,No website,http://www.instagram.com/alasbravasvk,No facebook,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': 'Closed', 'Thursday': '20:00 - 23:30', 'Friday': '20:00 - 23:30', 'Saturday': '13:00 - 23:30', 'Sunday': '13:00 - 17:00'}"
PizzaKore,"C. de Josefa Díaz, 4 (at Ground Flr, Mercado Numancia), Madrid, Spain, 28031",40.393439,-3.657673,0,0,['Italian'],0,Moderado,+34-629404158,No website,http://www.instagram.com/pizzakore/,No facebook,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '08:00 - 22:30', 'Thursday': '20:00 - 23:30', 'Friday': '20:00 - 23:30', 'Saturday': '14:00 - 17:00, 20:00 - 23:30', 'Sunday': '14:00 - 17:00, 20:00 - 22:30'}"
Karibu Sushi - temporarily closed,"7 C Castalia de Vallecas, Madrid, Spain, 28038",40.393411,-3.657350,2,4.0,"['Japanese', 'Asian']",3,Moderado,+34-665359023,https://karibu-sushi.eatbu.com/,http://www.instagram.com/karibu.sushi,http://facebook.com/100025877906962,"{'Monday': 'Closed', 'Tuesday': '18:00 - 00:00', 'Wednesday': '18:00 - 00:00', 'Thursday': '18:00 - 00:00', 'Friday': '14:00 - 00:00', 'Saturday': '14:00 - 00:00', 'Sunday': '14:00 - 00:00'}"
Pizzería Carlos - Ave Albufera,"Ave de la Albufera, 153, Madrid, Spain, 28038",40.392550,-3.655789,0,0,"['Italian', 'European']",0,Moderado,+34-919993050,https://www.pizzeriascarlos.es/,http://www.instagram.com/pizzeriascarlos,http://facebook.com/pizzeriascarlosoficial,"{'Monday': '13:30 - 16:00, 19:30 - 23:30', 'Tuesday': '13:30 - 16:00, 19:30 - 23:30', 'Wednesday': '13:30 - 16:00, 19:30 - 23:30', 'Thursday': '13:30 - 16:00, 19:30 - 23:30', 'Friday': '13:30 - 16:00, 19:30 - 23:30', 'Saturday': '13:30 - 16:00, 19:30 - 23:30', 'Sunday': '13:30 - 16:00, 19:30 - 23:30'}"
Name,Address,Lat,Long,Number of Ratings,Restaurant Rating,Type of Restaurant,Number of Bookmarks,Price Range,Phone Number,Website,Instagram,Facebook,Timetable
Pintxo y Coma,"Candilejas 14, Madrid, Spain, 28018",40.385543,-3.661255,9,4.0,"['European', 'Spanish']",19,Barato,+34-917856508,https://pintxoy-bar-madrid.metro.rest/,No instagram,http://facebook.com/pinycoma,"{'Monday': '09:00 - 00:00', 'Tuesday': '09:00 - 00:00', 'Wednesday': '09:00 - 00:00', 'Thursday': '09:00 - 00:00', 'Friday': '09:00 - 00:00', 'Saturday': '09:00 - 00:00', 'Sunday': '09:00 - 00:00'}"
Healthy Poke - Vallecas,"Av. de la Albufera, 153, Puente de Vallecas (at Albufera Plaza), Madrid, Spain, 28038",40.391861,-3.655783,0,0,"['Mexican', 'Asian']",0,No price range,+34-631353532,https://www.healthypoke.com/,http://www.instagram.com/healthypoke,No facebook,"{'Monday': '12:00 - 23:00', 'Tuesday': '12:00 - 23:00', 'Wednesday': '12:00 - 23:00', 'Thursday': '12:00 - 23:00', 'Friday': '12:00 - 23:00', 'Saturday': '12:00 - 23:00', 'Sunday': '12:00 - 23:00'}"
A las Bravas,"C de Josefa Díaz, 4, Puente de Vallecas (at Numancia Market), Madrid, Spain, 28038",40.393526,-3.658137,1,5.0,"['American', 'European']",1,No price range,No phone number,No website,http://www.instagram.com/alasbravasvk,No facebook,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': 'Closed', 'Thursday': '20:00 - 23:30', 'Friday': '20:00 - 23:30', 'Saturday': '13:00 - 23:30', 'Sunday': '13:00 - 17:00'}"
PizzaKore,"C. de Josefa Díaz, 4 (at Ground Flr, Mercado Numancia), Madrid, Spain, 28031",40.393439,-3.657673,0,0,['Italian'],0,Moderado,+34-629404158,No website,http://www.instagram.com/pizzakore/,No facebook,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '08:00 - 22:30', 'Thursday': '20:00 - 23:30', 'Friday': '20:00 - 23:30', 'Saturday': '14:00 - 17:00, 20:00 - 23:30', 'Sunday': '14:00 - 17:00, 20:00 - 22:30'}"
Karibu Sushi - temporarily closed,"7 C Castalia de Vallecas, Madrid, Spain, 28038",40.393411,-3.657350,2,4.0,"['Japanese', 'Asian']",3,Moderado,+34-665359023,https://karibu-sushi.eatbu.com/,http://www.instagram.com/karibu.sushi,http://facebook.com/100025877906962,"{'Monday': 'Closed', 'Tuesday': '18:00 - 00:00', 'Wednesday': '18:00 - 00:00', 'Thursday': '18:00 - 00:00', 'Friday': '14:00 - 00:00', 'Saturday': '14:00 - 00:00', 'Sunday': '14:00 - 00:00'}"
